"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,,,,,,,,,,
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA,,,,,,,,,,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,,,,,,,,,,
INTERVALO DE TEMPO: SEMANAL,,,,,,,,,,,,,,
PERÍODO: 18/05/2025 A 24/05/2025,,,,,,,,,,,,,,
COMBUSTÍVEL: TODOS,,,,,,,,,,,,,,
TIPO RELATÓRIO: MUNICÍPIO,,,,,,,,,,,,,,
CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PREÇO DE REVENDA,DATA DA COLETA
 4087649.000.142/1   -  ,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.49,5/21/25
 14412076.000.139/1   -  ,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,127.00,5/21/25
 14412076.000.139/1   -  ,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.65,5/21/25
 14412076.000.139/1   -  ,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.73,5/21/25
 14412076.000.139/1   -  ,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,7.60,5/21/25
 14412076.000.139/1   -  ,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,7.65,5/21/25
 14412076.000.139/1   -  ,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.32,5/21/25
 4767269.000.159/1   -  ,POSTO FLORESTA E AGROPECUARIA LTDA,,ESTRADA DA FLORESTA,684,,FLORESTA,69906-380,RIO BRANCO,ACRE,AMAZONGÁS,GLP,R$ / 13 kg,116.00,5/21/25
 4587754.000.140/1   -  ,FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA,POSTO YACO,AVENIDA CEARA,3491,,7O BEC,69918-108,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,125.00,5/21/25
 12436978.000.180/1   -  ,AUTO POSTO FREITAS & MAIA LTDA,POSTO ALDO,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,7.19,5/20/25
 12436978.000.180/1   -  ,AUTO POSTO FREITAS & MAIA LTDA,POSTO ALDO,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.23,5/20/25
 12436978.000.180/1   -  ,AUTO POSTO FREITAS & MAIA LTDA,POSTO ALDO,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,DIESEL S10,R$ / litro,7.03,5/20/25
 5518639.000.187/1   -  ,AUTO POSTO DA PEDRA LTDA,,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,7.19,5/20/25
 5518639.000.187/1   -  ,AUTO POSTO DA PEDRA LTDA,,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,ETANOL,R$ / litro,5.12,5/20/25
 4431113.000.100/1   -  ,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,7.15,5/19/25
 4431113.000.100/1   -  ,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,7.15,5/19/25
 4431113.000.100/1   -  ,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,DIESEL S500,R$ / litro,6.95,5/19/25
 4431113.000.100/1   -  ,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,DIESEL S10,R$ / litro,6.99,5/19/25
 4431113.000.100/1   -  ,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,ETANOL,R$ / litro,5.08,5/19/25
 5331412.000.209/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GNV,R$ / m³,5.09,5/23/25
 5331412.000.209/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.33,5/23/25
 5331412.000.209/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.43,5/23/25
 5331412.000.209/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,DIESEL S10,R$ / litro,6.59,5/23/25
 5331412.000.209/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,ETANOL,R$ / litro,5.21,5/23/25
 8623068.000.139/1   -  ,BALBINO & CIA LTDA,POSTO BR - 26,AVENIDA MUNIZ FALCAO,1,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,RAIZEN,GASOLINA COMUM,R$ / litro,6.39,5/23/25
 8623068.000.139/1   -  ,BALBINO & CIA LTDA,POSTO BR - 26,AVENIDA MUNIZ FALCAO,1,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,RAIZEN,GASOLINA ADITIVADA,R$ / litro,6.48,5/23/25
 8623068.000.139/1   -  ,BALBINO & CIA LTDA,POSTO BR - 26,AVENIDA MUNIZ FALCAO,1,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,RAIZEN,DIESEL S10,R$ / litro,6.69,5/23/25
 8413304.000.192/1   -  ,AMORIM & CORREIA LTDA,,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.35,5/23/25
 8413304.000.192/1   -  ,AMORIM & CORREIA LTDA,,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.47,5/23/25
 5331412.000.128/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,6.33,5/23/25
 5331412.000.128/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,6.43,5/23/25
 5331412.000.128/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,DIESEL S10,R$ / litro,6.59,5/23/25
 5331412.000.128/1   -  ,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,ETANOL,R$ / litro,5.21,5/23/25
 12486809.000.405/1   -  ,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,GNV,R$ / m³,4.79,5/19/25
 12486809.000.405/1   -  ,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.39,5/19/25
 12486809.000.405/1   -  ,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.49,5/19/25
 12486809.000.405/1   -  ,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,ETANOL,R$ / litro,5.39,5/19/25
 1600494.000.108/1   -  ,OLIVEIRA & FREITAS LTDA,JOSE DE FREITAS LINS,LOTEAMENTO VILA RICA,S/N,LOTE  12                  QUADRAB,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,IPIRANGA,GASOLINA COMUM,R$ / litro,6.39,5/19/25
 1600494.000.108/1   -  ,OLIVEIRA & FREITAS LTDA,JOSE DE FREITAS LINS,LOTEAMENTO VILA RICA,S/N,LOTE  12                  QUADRAB,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,IPIRANGA,DIESEL S10,R$ / litro,5.99,5/19/25
 1600494.000.108/1   -  ,OLIVEIRA & FREITAS LTDA,JOSE DE FREITAS LINS,LOTEAMENTO VILA RICA,S/N,LOTE  12                  QUADRAB,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,IPIRANGA,ETANOL,R$ / litro,5.19,5/19/25
 5459764.000.163/1   -  ,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,GNV,R$ / m³,4.79,5/19/25
 5459764.000.163/1   -  ,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.36,5/19/25
 5459764.000.163/1   -  ,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.46,5/19/25
